"행정구역","2026년04월_전체세대","2026년04월_1인세대","2026년04월_2인세대","2026년04월_3인세대","2026년04월_4인세대","2026년04월_5인세대","2026년04월_6인세대","2026년04월_7인세대","2026년04월_8인세대","2026년04월_9인세대","2026년04월_10인이상세대"
"전국  (1000000000)","24,425,770","10,392,515","6,208,732","4,089,768","2,916,178","654,159","124,289","28,056","7,447","2,338","2,288"
"서울특별시  (1100000000)","4,521,744","2,049,061","1,041,260","752,536","535,031","111,655","23,831","5,789","1,673","524","384"
"서울특별시 종로구 (1111000000)","72,618","38,962","14,975","9,969","6,532","1,617","408","95","39","8","13"
"서울특별시 종로구 청운효자동(1111051500)","4,878","1,900","1,219","916","618","163","46","9","4","2","1"
"서울특별시 종로구 사직동(1111053000)","4,574","2,378","922","675","451","109","21","11","3","0","4"
"서울특별시 종로구 삼청동(1111054000)","1,059","530","242","144","99","31","10","3","0","0","0"
"서울특별시 종로구 부암동(1111055000)","4,111","1,685","1,045","721","471","134","38","11","4","1","1"
"서울특별시 종로구 평창동(1111056000)","7,087","2,234","1,911","1,453","1,055","320","80","21","11","1","1"
"서울특별시 종로구 무악동(1111057000)","2,971","696","780","742","582","137","25","7","0","1","1"
"서울특별시 종로구 교남동(1111058000)","4,336","1,666","1,096","850","602","99","15","5","2","1","0"
"서울특별시 종로구 가회동(1111060000)","1,803","895","392","291","163","41","16","2","2","0","1"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","4,927","3,961","489","271","152","36","11","5","2","0","0"
"서울특별시 종로구 종로5.6가동(1111063000)","3,732","2,736","540","263","150","35","5","3","0","0","0"
"서울특별시 종로구 이화동(1111064000)","4,472","2,994","770","409","228","51","14","4","1","1","0"
"서울특별시 종로구 혜화동(1111065000)","9,334","5,972","1,507","966","671","152","50","7","4","1","4"
"서울특별시 종로구 창신제1동(1111067000)","2,638","1,629","542","281","131","43","9","2","1","0","0"
"서울특별시 종로구 창신제2동(1111068000)","3,890","2,064","940","507","293","64","20","0","2","0","0"
"서울특별시 종로구 창신제3동(1111069000)","2,723","946","777","559","329","88","20","2","2","0","0"
"서울특별시 종로구 숭인제1동(1111070000)","3,017","1,545","712","423","258","58","19","1","1","0","0"
"서울특별시 종로구 숭인제2동(1111071000)","7,066","5,131","1,091","498","279","56","9","2","0","0","0"
"서울특별시 중구 (1114000000)","63,966","34,490","14,478","8,422","4,998","1,152","306","76","25","8","11"
"서울특별시 중구 소공동(1114052000)","1,246","743","227","166","93","10","3","3","0","0","1"
"서울특별시 중구 회현동(1114054000)","2,297","1,343","445","296","157","35","12","7","2","0","0"
"서울특별시 중구 명동(1114055000)","1,318","908","214","111","66","11","4","2","0","1","1"
"서울특별시 중구 필동(1114057000)","2,832","1,964","481","225","122","28","9","1","1","0","1"
"서울특별시 중구 장충동(1114058000)","2,937","2,042","458","223","157","39","15","0","1","0","2"
"서울특별시 중구 광희동(1114059000)","3,963","2,928","588","257","133","40","11","2","4","0","0"
"서울특별시 중구 을지로동(1114060500)","2,068","1,456","374","153","65","17","3","0","0","0","0"
"서울특별시 중구 신당동(1114061500)","4,712","3,161","878","384","205","54","22","7","1","0","0"
"서울특별시 중구 다산동(1114062500)","6,734","3,340","1,645","965","609","134","29","8","2","0","2"
"서울특별시 중구 약수동(1114063500)","7,690","3,230","2,227","1,268","734","160","50","16","2","2","1"
"서울특별시 중구 청구동(1114064500)","5,047","2,005","1,426","871","578","131","28","7","0","1","0"
"서울특별시 중구 신당제5동(1114065000)","5,420","2,873","1,256","750","420","96","18","6","0","1","0"
"서울특별시 중구 동화동(1114066500)","3,957","1,103","1,104","893","625","159","51","11","8","2","1"
"서울특별시 중구 황학동(1114067000)","7,884","4,725","1,773","823","437","99","22","4","0","0","1"
"서울특별시 중구 중림동(1114068000)","5,861","2,669","1,382","1,037","597","139","29","2","4","1","1"
"서울특별시 용산구 (1117000000)","102,264","50,919","22,744","15,453","9,939","2,400","561","145","58","24","21"
"서울특별시 용산구 후암동(1117051000)","8,337","4,425","1,844","1,148","687","178","31","16","3","1","4"
"서울특별시 용산구 용산2가동(1117052000)","4,985","2,909","1,159","548","281","64","17","6","1","0","0"
"서울특별시 용산구 남영동(1117053000)","5,006","3,807","686","302","151","46","12","1","0","0","1"
"서울특별시 용산구 청파동(1117055500)","11,490","7,561","2,070","1,032","606","163","42","10","3","0","3"
"서울특별시 용산구 원효로제1동(1117056000)","9,364","5,266","1,855","1,242","799","155","34","8","3","0","2"
"서울특별시 용산구 원효로제2동(1117057000)","6,310","2,687","1,486","1,182","725","165","46","7","5","5","2"
"서울특별시 용산구 효창동(1117058000)","4,693","1,764","1,221","927","586","143","37","9","2","3","1"
"서울특별시 용산구 용문동(1117059000)","5,306","2,243","1,375","949","574","130","24","5","4","0","2"
"서울특별시 용산구 한강로동(1117062500)","11,205","6,023","2,325","1,635","957","193","46","17","9","0","0"
"서울특별시 용산구 이촌제1동(1117063000)","9,118","1,762","2,292","2,521","1,969","425","109","21","11","5","3"
"서울특별시 용산구 이촌제2동(1117064000)","3,570","1,318","1,040","683","403","93","27","3","1","2","0"
"서울특별시 용산구 이태원제1동(1117065000)","3,154","1,796","732","351","199","60","12","4","0","0","0"
"서울특별시 용산구 이태원제2동(1117066000)","4,683","2,584","1,098","580","305","88","18","6","2","1","1"
"서울특별시 용산구 한남동(1117068500)","6,966","3,394","1,661","1,028","628","183","45","16","4","5","2"
"서울특별시 용산구 서빙고동(1117069000)","5,063","1,713","1,218","935","856","269","48","14","8","2","0"
"서울특별시 용산구 보광동(1117070000)","3,014","1,667","682","390","213","45","13","2","2","0","0"
"서울특별시 성동구 (1120000000)","133,857","59,159","32,338","23,448","15,099","2,902","681","156","51","16","7"
"서울특별시 성동구 왕십리제2동(1120052000)","7,320","2,984","1,828","1,372","898","171","54","11","0","1","1"
"서울특별시 성동구 왕십리도선동(1120053500)","11,993","5,083","2,759","2,231","1,517","301","72","19","7","4","0"
"서울특별시 성동구 마장동(1120054000)","11,141","5,660","2,540","1,539","1,082","228","69","16","2","1","4"
"서울특별시 성동구 사근동(1120055000)","8,487","6,476","999","518","382","85","18","5","3","1","0"
"서울특별시 성동구 행당제1동(1120056000)","7,360","3,055","1,755","1,357","972","176","34","8","2","1","0"
"서울특별시 성동구 행당제2동(1120057000)","9,113","2,395","2,606","2,218","1,540","271","59","18","5","1","0"
"서울특별시 성동구 응봉동(1120058000)","5,833","1,609","1,536","1,420","1,020","207","31","4","4","2","0"
"서울특별시 성동구 금호1가동(1120059000)","6,343","2,195","1,713","1,373","851","163","37","9","1","1","0"
"서울특별시 성동구 금호2.3가동(1120061500)","9,367","3,361","2,595","1,970","1,175","209","41","12","4","0","0"
"서울특별시 성동구 금호4가동(1120062000)","6,323","2,303","1,732","1,359","761","126","34","6","2","0","0"
"서울특별시 성동구 옥수동(1120064500)","10,727","3,095","3,164","2,598","1,483","300","65","15","4","2","1"
"서울특별시 성동구 성수1가제1동(1120065000)","7,267","3,157","1,861","1,286","773","140","38","6","6","0","0"
"서울특별시 성동구 성수1가제2동(1120066000)","7,052","3,134","1,796","1,201","752","127","30","7","4","1","0"
"서울특별시 성동구 성수2가제1동(1120067000)","7,159","3,666","1,710","997","627","116","32","7","4","0","0"
"서울특별시 성동구 성수2가제3동(1120069000)","4,918","2,579","1,041","669","470","119","32","6","1","0","1"
"서울특별시 성동구 송정동(1120072000)","5,106","2,916","1,100","610","388","74","14","2","2","0","0"
"서울특별시 성동구 용답동(1120079000)","8,348","5,491","1,603","730","408","89","21","5","0","1","0"
"서울특별시 광진구 (1121500000)","171,957","87,896","36,930","25,235","17,389","3,444","780","201","53","15","14"
"서울특별시 광진구 화양동(1121571000)","18,225","15,191","1,915","658","368","65","22","5","0","0","1"
"서울특별시 광진구 군자동(1121573000)","11,259","7,131","2,104","1,167","667","138","36","11","3","2","0"
"서울특별시 광진구 중곡제1동(1121574000)","8,607","4,951","2,008","955","532","125","24","11","1","0","0"
"서울특별시 광진구 중곡제2동(1121575000)","10,507","5,372","2,532","1,473","878","198","42","6","2","3","1"
"서울특별시 광진구 중곡제3동(1121576000)","8,428","4,517","2,063","1,062","608","148","23","7","0","0","0"
"서울특별시 광진구 중곡제4동(1121577000)","13,164","5,729","3,482","2,236","1,336","280","71","23","4","2","1"
"서울특별시 광진구 능동(1121578000)","6,373","3,922","1,297","636","396","79","38","4","0","0","1"
"서울특별시 광진구 광장동(1121581000)","11,719","2,349","2,188","3,366","3,175","504","100","30","7","0","0"
"서울특별시 광진구 자양제1동(1121582000)","12,130","6,866","2,674","1,418","945","185","29","9","4","0","0"
"서울특별시 광진구 자양제2동(1121583000)","12,180","4,861","3,068","2,288","1,540","327","72","19","4","1","0"
"서울특별시 광진구 자양제3동(1121584000)","10,951","3,295","2,767","2,482","1,925","355","85","25","13","2","2"
"서울특별시 광진구 자양제4동(1121584700)","11,379","6,529","2,472","1,386","788","156","36","7","5","0","0"
"서울특별시 광진구 구의제1동(1121585000)","13,464","8,096","2,684","1,518","899","209","45","9","1","2","1"
"서울특별시 광진구 구의제2동(1121586000)","11,519","4,639","2,899","2,096","1,472","322","67","16","4","0","4"
"서울특별시 광진구 구의제3동(1121587000)","12,052","4,448","2,777","2,494","1,860","353","90","19","5","3","3"
"서울특별시 동대문구 (1123000000)","180,197","89,470","39,694","27,780","18,338","3,787","850","192","58","18","10"
"서울특별시 동대문구 신설동(1123051500)","9,567","5,833","1,747","1,119","708","126","29","4","1","0","0"
"서울특별시 동대문구 용두동(1123053300)","12,800","7,392","2,565","1,576","1,015","193","44","11","3","1","0"
"서울특별시 동대문구 제기동(1123054500)","12,885","7,734","2,554","1,436","868","221","51","11","6","2","2"
"서울특별시 동대문구 전농제1동(1123056000)","16,467","8,008","3,681","2,612","1,729","328","84","18","7","0","0"
"서울특별시 동대문구 전농제2동(1123057000)","7,354","2,328","2,029","1,554","1,133","235","65","6","2","2","0"
"서울특별시 동대문구 답십리제1동(1123060000)","12,861","5,355","3,053","2,508","1,563","311","42","18","9","2","0"
"서울특별시 동대문구 답십리제2동(1123061000)","12,668","4,893","3,439","2,418","1,493","329","81","12","2","0","1"
"서울특별시 동대문구 장안제1동(1123065000)","18,618","8,843","4,319","3,018","1,854","461","94","19","7","3","0"
"서울특별시 동대문구 장안제2동(1123066000)","15,005","5,935","3,623","2,859","2,049","395","110","25","6","0","3"
"서울특별시 동대문구 청량리동(1123070500)","9,722","5,211","2,344","1,236","698","178","37","13","3","1","1"
"서울특별시 동대문구 회기동(1123071000)","6,752","4,823","933","522","373","81","14","2","1","2","1"
"서울특별시 동대문구 휘경제1동(1123072000)","9,044","4,909","1,852","1,236","834","158","39","11","2","3","0"
"서울특별시 동대문구 휘경제2동(1123073000)","12,718","7,056","2,445","1,671","1,228","247","50","13","6","1","1"
"서울특별시 동대문구 이문제1동(1123074000)","15,593","8,004","3,071","2,493","1,668","276","62","15","2","1","1"
"서울특별시 동대문구 이문제2동(1123075000)","8,143","3,146","2,039","1,522","1,125","248","48","14","1","0","0"
"서울특별시 중랑구 (1126000000)","190,116","88,343","47,758","30,146","18,758","4,041","815","193","41","14","7"
"서울특별시 중랑구 면목제2동(1126052000)","12,056","5,941","3,050","1,760","1,036","208","45","12","3","1","0"
"서울특별시 중랑구 면목제4동(1126054000)","8,879","4,128","2,305","1,374","841","179","36","11","2","1","2"
"서울특별시 중랑구 면목제5동(1126055000)","6,186","2,160","1,707","1,290","842","150","27","8","0","1","1"
"서울특별시 중랑구 면목본동(1126056500)","17,713","9,625","4,209","2,374","1,210","239","48","4","2","1","1"
"서울특별시 중랑구 면목제7동(1126057000)","10,496","4,898","2,726","1,673","956","193","42","6","2","0","0"
"서울특별시 중랑구 면목제3.8동(1126057500)","12,740","6,577","3,187","1,750","969","205","39","9","3","1","0"
"서울특별시 중랑구 상봉제1동(1126058000)","10,332","3,827","2,699","2,079","1,403","268","42","11","2","1","0"
"서울특별시 중랑구 상봉제2동(1126059000)","13,909","9,111","2,775","1,206","663","115","27","9","1","2","0"
"서울특별시 중랑구 중화제1동(1126060000)","8,740","3,649","2,477","1,517","875","179","34","8","1","0","0"
"서울특별시 중랑구 중화제2동(1126061000)","14,394","7,846","3,466","1,846","976","195","48","12","4","0","1"
"서울특별시 중랑구 묵제1동(1126062000)","14,854","5,731","3,680","2,804","2,000","502","106","25","6","0","0"
"서울특별시 중랑구 묵제2동(1126063000)","9,178","4,432","2,411","1,296","824","175","27","12","1","0","0"
"서울특별시 중랑구 망우본동(1126065500)","18,865","8,795","4,430","3,086","2,029","418","80","21","4","1","1"
